Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,11.650000,12.300000,11.650000,11.800000,11.580767,20521
2020-01-03,12.050000,12.050000,11.450000,11.800000,11.580767,9241
2020-01-07,11.800000,12.100000,11.800000,11.950000,11.727980,7571
2020-01-08,11.900000,12.200000,11.800000,12.100000,11.875194,15467
2020-01-09,12.150000,12.700000,12.150000,12.500000,12.267761,19329
2020-01-10,12.650000,12.650000,12.350000,12.500000,12.267761,7144
2020-01-13,12.600000,12.650000,12.250000,12.350000,12.120548,14185
2020-01-14,12.350000,13.050000,12.050000,12.750000,12.513116,10719
2020-01-15,12.800000,13.150000,12.550000,12.950000,12.709400,14876
2020-01-16,12.900000,13.350000,12.600000,13.300000,13.052898,9362
2020-01-17,13.350000,13.450000,13.150000,13.400000,13.151039,20813
2020-01-20,13.450000,13.450000,13.300000,13.300000,13.052898,8476
2020-01-21,13.400000,13.550000,13.300000,13.550000,13.298253,10816
2020-01-22,13.600000,13.900000,13.550000,13.850000,13.592680,6580
2020-01-23,13.850000,13.950000,13.400000,13.400000,13.151039,9974
2020-01-24,13.550000,13.950000,13.500000,13.500000,13.249183,7041
2020-01-27,13.550000,13.700000,13.300000,13.450000,13.200111,7491
2020-01-28,13.450000,14.650000,13.450000,14.150000,13.887104,17373
2020-01-29,14.150000,14.400000,13.850000,14.100000,13.838035,43993
2020-01-30,14.300000,14.850000,14.000000,14.750000,14.475958,23611
2020-01-31,14.800000,15.350000,14.700000,14.750000,14.475958,11729
2020-02-03,14.750000,14.850000,14.200000,14.350000,14.083390,7934
2020-02-04,14.300000,14.300000,14.000000,14.200000,13.936176,10194
2020-02-05,14.100000,14.150000,13.900000,13.950000,13.690822,9516
2020-02-06,14.000000,14.350000,13.950000,14.300000,14.034318,4164
2020-02-07,14.200000,14.400000,14.000000,14.200000,13.936176,9700
2020-02-10,14.150000,14.250000,13.650000,14.000000,13.739892,13996
2020-02-11,13.900000,13.950000,13.450000,13.550000,13.298253,17334
2020-02-12,13.950000,14.400000,13.400000,14.100000,13.838035,13801
2020-02-13,14.150000,14.600000,13.800000,14.500000,14.230603,21092
2020-02-14,13.450000,14.100000,11.950000,13.800000,13.543609,46414
2020-02-17,14.200000,15.000000,14.200000,14.300000,14.034318,41575
2020-02-18,14.400000,14.450000,14.050000,14.200000,13.936176,9937
2020-02-19,14.150000,14.800000,14.150000,14.600000,14.328745,5742
2020-02-20,14.750000,14.950000,14.300000,14.300000,14.034318,8376
2020-02-21,14.350000,14.650000,14.100000,14.100000,13.838035,7340
2020-02-24,14.100000,14.100000,12.150000,13.600000,13.347324,31804
2020-02-25,13.350000,13.550000,12.950000,13.000000,12.758471,21231
2020-02-26,12.500000,13.100000,12.000000,12.850000,12.611259,43598
2020-02-27,13.000000,13.150000,12.350000,12.400000,12.169618,17459
2020-02-28,11.950000,12.300000,11.500000,11.850000,11.629837,41102
2020-03-02,12.400000,13.950000,12.350000,12.750000,12.513116,37441
2020-03-03,12.950000,13.600000,12.950000,13.450000,13.200111,29836
2020-03-04,13.550000,13.850000,13.300000,13.500000,13.249183,20761
2020-03-05,13.550000,13.800000,12.850000,13.050000,12.807544,8680
2020-03-06,12.900000,12.900000,12.100000,12.500000,12.267761,37039
2020-03-09,11.800000,12.250000,11.500000,12.200000,11.973334,29896
2020-03-10,12.250000,12.600000,12.050000,12.350000,12.120548,13602
2020-03-11,12.400000,12.800000,11.600000,12.150000,11.924264,16085
2020-03-12,11.500000,11.500000,10.750000,10.750000,10.550275,35059
2020-03-13,10.650000,11.700000,10.600000,10.900000,10.697488,25249
2020-03-16,10.500000,10.800000,10.050000,10.800000,10.599345,34738
2020-03-17,10.800000,11.300000,10.500000,11.250000,11.040984,11423
2020-03-18,10.900000,11.700000,10.650000,10.950000,10.746558,23505
2020-03-19,11.000000,11.150000,10.450000,10.600000,10.403062,14787
2020-03-20,11.650000,11.650000,10.100000,10.400000,10.206776,71915
2020-03-23,10.300000,10.800000,10.000000,10.400000,10.206776,18721
2020-03-24,10.850000,10.950000,10.500000,10.700000,10.501203,20672
2020-03-25,10.900000,11.450000,10.800000,11.100000,10.893772,15191
2020-03-26,13.000000,14.300000,12.500000,14.300000,14.034318,93566
2020-03-27,14.600000,14.800000,13.700000,14.150000,13.887104,42201
2020-03-30,14.050000,14.500000,13.500000,14.000000,13.739892,20693
2020-03-31,14.100000,14.950000,14.000000,14.800000,14.525029,68351
2020-04-01,15.650000,16.700001,15.650000,16.400000,16.095303,45311
2020-04-02,16.299999,17.049999,16.150000,16.799999,16.487869,20827
2020-04-03,16.700001,17.150000,16.350000,16.500000,16.193443,13920
2020-04-06,16.450001,17.950001,16.450001,17.850000,17.518362,37201
2020-04-07,17.900000,18.950001,17.450001,17.650000,17.429487,17089
2020-04-08,17.650000,18.299999,17.650000,17.700001,17.478863,24076
2020-04-09,18.000000,18.100000,17.650000,17.750000,17.528238,8917
2020-04-14,17.799999,18.950001,17.700001,18.600000,18.367620,25391
2020-04-15,18.650000,18.900000,17.500000,17.650000,17.429487,22535
2020-04-16,17.900000,18.450001,17.350000,18.000000,17.775114,9572
2020-04-17,18.100000,19.799999,18.100000,19.000000,18.762621,23887
2020-04-20,18.900000,19.299999,18.350000,19.100000,18.861370,8553
2020-04-21,19.200001,19.200001,18.549999,18.549999,18.318243,4771
2020-04-22,19.000000,19.799999,19.000000,19.450001,19.207001,14483
2020-04-23,19.450001,20.700001,19.450001,20.000000,19.750126,19754
2020-04-24,20.000000,20.200001,19.650000,20.000000,19.750126,14039
2020-04-27,20.000000,21.400000,20.000000,20.799999,20.540131,22573
2020-04-28,21.299999,22.400000,21.200001,21.799999,21.527639,16263
2020-04-29,22.000000,22.000000,20.700001,21.000000,20.737635,9662
2020-04-30,21.100000,21.700001,20.000000,20.500000,20.243879,12342
2020-05-04,20.200001,20.200001,19.250000,19.750000,19.503250,13249
2020-05-05,20.000000,20.600000,19.900000,20.100000,19.848879,5025
2020-05-06,20.500000,21.200001,20.200001,20.200001,19.947630,3341
2020-05-07,20.200001,20.600000,19.450001,19.500000,19.256374,12222
2020-05-08,19.650000,20.400000,19.650000,20.200001,19.947630,6848
2020-05-11,20.500000,20.600000,20.400000,20.600000,20.342630,3974
2020-05-12,20.600000,20.900000,20.500000,20.799999,20.540131,6117
2020-05-13,20.799999,20.799999,20.200001,20.600000,20.342630,7321
2020-05-14,20.600000,21.000000,20.600000,21.000000,20.737635,15550
2020-05-15,21.000000,21.799999,20.700001,21.500000,21.231388,12400
2020-05-18,21.799999,22.299999,21.600000,22.200001,21.922642,59043
2020-05-19,22.299999,23.299999,22.299999,22.600000,22.317644,9391
2020-05-20,23.000000,23.000000,22.000000,22.100000,21.823891,106077
2020-05-22,22.000000,22.299999,21.200001,21.400000,21.132635,8954
2020-05-25,22.100000,22.100000,21.600000,22.000000,21.725138,2708
2020-05-26,22.000000,22.000000,21.500000,21.600000,21.330137,5784
2020-05-27,21.299999,21.600000,20.600000,21.100000,20.836386,17643
2020-05-28,20.900000,21.500000,20.799999,21.000000,20.737635,10089
2020-05-29,20.799999,21.799999,20.799999,21.500000,21.231388,5496
2020-06-01,21.600000,22.000000,21.000000,21.799999,21.527639,3311
2020-06-02,21.799999,21.900000,21.400000,21.900000,21.626389,7313
2020-06-03,21.900000,22.000000,21.400000,21.500000,21.231388,4457
2020-06-04,21.600000,21.700001,20.700001,21.000000,20.737635,9166
2020-06-05,21.100000,21.299999,20.600000,21.100000,20.836386,5452
2020-06-08,21.000000,21.200001,20.500000,20.500000,20.243879,5691
2020-06-09,20.600000,20.799999,19.500000,20.299999,20.046379,7838
2020-06-10,20.299999,20.500000,19.700001,20.200001,19.947630,8119
2020-06-11,20.200001,20.200001,19.400000,19.799999,19.552626,11254
2020-06-12,19.100000,20.600000,18.150000,19.850000,19.602001,11858
2020-06-15,19.750000,20.500000,18.700001,20.100000,19.848879,7246
2020-06-16,20.400000,21.299999,20.400000,21.100000,20.836386,9463
2020-06-17,21.299999,21.500000,21.100000,21.200001,20.935135,6466
2020-06-18,21.400000,21.500000,21.100000,21.400000,21.132635,4279
2020-06-22,21.500000,21.500000,21.000000,21.299999,21.033884,5769
2020-06-23,21.500000,23.500000,21.100000,23.000000,22.712646,53698
2020-06-24,23.000000,23.600000,22.700001,22.799999,22.515142,9072
2020-06-25,22.799999,22.799999,21.700001,22.200001,21.922642,7243
2020-06-26,22.400000,23.000000,22.400000,22.799999,22.515142,2771
2020-06-29,22.600000,22.700001,21.600000,22.299999,22.021391,4385
2020-06-30,22.299999,22.799999,21.200001,21.500000,21.231388,13243
2020-07-01,21.600000,21.900000,20.500000,20.900000,20.638882,7947
2020-07-02,21.100000,21.799999,20.500000,21.799999,21.527639,11915
2020-07-03,21.799999,21.799999,21.000000,21.400000,21.132635,6395
2020-07-06,22.100000,22.400000,21.500000,22.400000,22.120142,9072
2020-07-07,22.400000,22.400000,21.700001,22.200001,21.922642,4145
2020-07-08,22.200001,22.200001,21.600000,21.900000,21.626389,2513
2020-07-09,21.900000,22.000000,21.500000,21.500000,21.231388,2402
2020-07-10,21.799999,21.900000,21.200001,21.900000,21.626389,3068
2020-07-13,21.900000,22.299999,21.400000,21.500000,21.231388,13814
2020-07-14,21.600000,21.900000,21.200001,21.700001,21.428888,4839
2020-07-15,21.600000,22.000000,21.200001,21.400000,21.132635,5042
2020-07-16,21.700001,21.700001,21.000000,21.400000,21.132635,2927
2020-07-17,21.400000,21.500000,21.100000,21.299999,21.033884,3334
2020-07-20,21.299999,22.900000,21.100000,22.200001,21.922642,14008
2020-07-21,22.200001,23.500000,22.000000,23.100000,22.811398,11773
2020-07-22,22.900000,23.299999,22.500000,23.100000,22.811398,4940
2020-07-23,23.400000,24.400000,23.299999,24.400000,24.095156,16919
2020-07-24,24.400000,27.799999,23.200001,26.000000,25.675165,16082
2020-07-27,25.900000,26.000000,24.600000,25.799999,25.477661,21739
2020-07-28,25.900000,26.400000,25.299999,25.500000,25.181412,5194
2020-07-29,25.500000,25.500000,24.299999,24.400000,24.095156,4389
2020-07-30,24.400000,24.900000,23.000000,23.299999,23.008898,8135
2020-07-31,23.299999,24.700001,23.299999,24.000000,23.700153,3223
2020-08-03,25.000000,25.200001,23.299999,25.000000,24.687658,12349
2020-08-04,24.900000,25.500000,24.600000,25.500000,25.181412,4534
2020-08-05,25.500000,26.000000,25.000000,26.000000,25.675165,10217
2020-08-06,26.000000,27.100000,25.500000,25.900000,25.576414,15155
2020-08-07,26.799999,28.500000,26.100000,27.900000,27.551428,17369
2020-08-10,28.000000,29.799999,28.000000,28.600000,28.242682,30498
2020-08-11,29.000000,29.600000,28.799999,28.799999,28.440184,23724
2020-08-12,28.799999,30.600000,28.299999,30.500000,30.118944,44528
2020-08-13,30.600000,31.900000,30.100000,31.799999,31.402702,30647
2020-08-14,33.000000,34.000000,32.000000,33.799999,33.377716,60407
2020-08-17,33.299999,33.299999,30.700001,31.200001,30.810198,30772
2020-08-18,31.100000,31.700001,29.799999,30.000000,29.625191,24042
2020-08-19,29.900000,30.500000,29.500000,29.700001,29.328939,8030
2020-08-20,29.500000,30.299999,29.500000,29.600000,29.230188,10662
2020-08-21,29.600000,30.700001,29.600000,30.000000,29.625191,10904
2020-08-24,30.600000,32.200001,30.299999,31.500000,31.106449,19865
2020-08-25,31.900000,32.000000,30.799999,31.900000,31.501451,17799
2020-08-26,32.000000,32.000000,31.100000,31.299999,30.908949,15697
2020-08-27,31.100000,31.400000,30.600000,31.100000,30.711449,12909
2020-08-28,31.100000,31.100000,30.500000,30.600000,30.217693,5818
2020-08-31,30.600000,31.400000,30.500000,31.000000,30.612698,34295
2020-09-01,30.900000,31.400000,30.500000,31.000000,30.612698,13542
2020-09-02,31.799999,31.799999,30.799999,31.200001,30.810198,8899
2020-09-03,31.600000,31.600000,29.900000,30.900000,30.513947,8638
2020-09-04,29.900000,30.400000,29.299999,29.400000,29.032686,19255
2020-09-07,29.400000,30.400000,29.400000,30.000000,29.625191,7653
2020-09-08,30.200001,30.299999,28.799999,29.200001,28.835186,15308
2020-09-09,29.100000,29.299999,28.100000,29.100000,28.736435,23639
2020-09-10,29.200001,29.400000,28.799999,29.200001,28.835186,6720
2020-09-11,29.200001,29.200001,28.299999,28.600000,28.242682,7543
2020-09-14,28.100000,29.700001,28.100000,29.600000,29.230188,23786
2020-09-15,29.500000,30.400000,29.100000,30.000000,29.625191,15085
2020-09-16,29.700001,30.700001,29.500000,29.500000,29.131437,9451
2020-09-17,29.400000,29.400000,28.799999,29.299999,28.933937,5812
2020-09-18,29.100000,29.700001,28.900000,29.600000,29.230188,7294
2020-09-21,29.299999,29.299999,28.500000,29.299999,28.933937,11936
2020-09-22,28.700001,29.900000,28.600000,29.000000,28.637684,12970
2020-09-23,29.400000,30.500000,29.200001,30.200001,29.822693,7771
2020-09-24,30.200001,30.200001,29.100000,30.000000,29.625191,7686
2020-09-25,30.500000,30.600000,29.799999,30.600000,30.217693,8048
2020-09-28,30.700001,31.900000,30.600000,31.299999,30.908949,18652
2020-09-29,31.299999,32.500000,31.200001,32.099998,31.698952,34322
2020-09-30,32.099998,33.900002,31.400000,33.900002,33.476467,18240
2020-10-01,33.900002,33.900002,32.599998,33.000000,32.587711,5718
2020-10-02,32.900002,33.500000,31.799999,33.500000,33.081463,13272
2020-10-05,33.599998,34.000000,33.500000,33.900002,33.476467,8014
2020-10-06,33.900002,34.000000,32.099998,33.099998,32.686459,6565
2020-10-07,33.099998,33.099998,31.400000,32.200001,31.797707,7409
2020-10-08,32.599998,32.700001,30.600000,30.900000,30.513947,16383
2020-10-09,30.900000,32.700001,30.900000,32.500000,32.093956,14911
2020-10-12,32.500000,34.000000,31.700001,34.000000,33.575218,18465
2020-10-13,34.000000,35.400002,33.400002,34.799999,34.365219,36206
2020-10-14,34.799999,35.500000,34.000000,35.200001,34.760223,8804
2020-10-15,35.099998,35.200001,33.500000,34.200001,33.772717,10702
2020-10-16,34.500000,35.000000,32.299999,34.299999,33.871468,10085
2020-10-19,34.500000,34.900002,34.299999,34.500000,34.068970,9267
2020-10-20,34.500000,34.500000,33.000000,33.500000,33.081463,18580
2020-10-21,33.500000,33.500000,31.700001,31.700001,31.303953,17061
2020-10-22,31.900000,31.900000,30.500000,31.000000,30.612698,14810
2020-10-23,31.000000,31.600000,30.600000,31.000000,30.612698,16438
2020-10-26,30.900000,30.900000,29.000000,29.000000,28.637684,27295
2020-10-27,30.100000,30.500000,29.600000,29.900000,29.526440,13434
2020-10-28,30.100000,30.200001,28.500000,29.299999,28.933937,14456
2020-10-29,29.100000,31.500000,28.900000,31.100000,30.711449,18745
2020-10-30,30.700001,35.000000,29.400000,35.000000,34.562721,14958
2020-11-02,32.900002,32.900002,31.400000,31.799999,31.402702,13278
2020-11-03,32.000000,32.000000,30.600000,31.500000,31.106449,13879
2020-11-04,31.299999,33.500000,30.799999,33.500000,33.081463,11750
2020-11-05,33.400002,33.400002,32.400002,32.799999,32.390209,12987
2020-11-06,32.799999,32.799999,31.700001,32.700001,32.291458,5431
2020-11-09,33.200001,33.200001,31.000000,31.400000,31.007698,13970
2020-11-10,31.299999,31.700001,30.400000,30.700001,30.316444,13102
2020-11-11,30.600000,30.700001,29.900000,30.600000,30.217693,6001
2020-11-12,30.700001,31.000000,29.900000,30.299999,29.921442,6310
2020-11-13,31.000000,31.299999,30.400000,30.900000,30.513947,6000
2020-11-16,30.700001,31.200001,30.400000,30.500000,30.118944,12697
2020-11-17,30.500000,31.100000,30.100000,30.600000,30.217693,4989
2020-11-18,30.299999,30.799999,29.900000,30.200001,29.822693,6866
2020-11-19,30.299999,30.299999,29.500000,29.799999,29.427687,10190
2020-11-20,29.900000,30.400000,29.600000,29.700001,29.328939,13826
2020-11-23,29.700001,29.799999,29.000000,29.100000,28.736435,14443
2020-11-24,29.000000,30.000000,29.000000,29.700001,29.328939,14002
2020-11-25,30.000000,30.700001,29.700001,29.799999,29.427687,13601
2020-11-26,30.299999,30.400000,29.299999,29.600000,29.230188,6789
2020-11-27,29.799999,30.900000,29.700001,30.100000,29.723942,16526
2020-11-30,30.299999,31.200001,30.000000,30.200001,29.822693,10018
2020-12-01,30.200001,32.299999,30.100000,32.000000,31.600203,17909
2020-12-02,32.000000,32.700001,31.000000,31.900000,31.501451,19311
2020-12-03,31.799999,33.200001,31.799999,32.700001,32.291458,16458
2020-12-04,32.700001,32.700001,31.900000,32.200001,31.797707,5924
2020-12-07,32.000000,32.700001,31.799999,32.400002,31.995209,11855
2020-12-08,32.400002,33.799999,32.000000,33.599998,33.180210,21087
2020-12-09,34.000000,34.500000,33.200001,34.000000,33.575218,44694
2020-12-10,35.500000,35.900002,34.700001,35.799999,35.352726,49028
2020-12-11,35.799999,37.500000,35.700001,36.799999,36.340233,23795
2020-12-14,37.400002,38.000000,37.200001,37.799999,37.327740,9344
2020-12-15,37.900002,38.900002,36.200001,36.700001,36.241482,9781
2020-12-16,36.700001,38.400002,36.700001,38.200001,37.722740,6873
2020-12-17,38.299999,39.000000,38.299999,39.000000,38.512749,8407
2020-12-18,39.000000,39.799999,39.000000,39.799999,39.302753,6726
2020-12-21,39.599998,39.599998,37.500000,38.900002,38.414001,12462
2020-12-22,38.900002,38.900002,37.900002,38.000000,37.525242,8893
2020-12-23,38.400002,39.599998,38.200001,39.599998,39.105251,5323
2020-12-28,39.900002,40.299999,39.599998,39.900002,39.401505,8332
2020-12-29,40.000000,40.000000,38.299999,38.500000,38.018993,11885
2020-12-30,38.500000,39.099998,38.400002,39.000000,38.512749,8736
2021-01-04,39.000000,39.000000,37.799999,38.500000,38.018993,10351
2021-01-05,38.700001,38.700001,38.000000,38.200001,37.722740,5995
2021-01-07,38.200001,38.400002,37.099998,37.299999,36.833988,10737
2021-01-08,38.000000,38.200001,37.299999,37.799999,37.327740,6557
2021-01-11,37.900002,38.000000,36.299999,37.000000,36.537735,10709
2021-01-12,37.099998,37.900002,37.099998,37.799999,37.327740,6338
2021-01-13,38.200001,38.299999,36.400002,36.799999,36.340233,10534
2021-01-14,36.799999,36.799999,35.599998,36.099998,35.648979,11081
2021-01-15,36.900002,36.900002,36.200001,36.200001,35.747730,7065
2021-01-18,36.000000,36.700001,35.700001,35.799999,35.352726,5688
2021-01-19,36.200001,36.299999,35.700001,36.000000,35.550228,7326
2021-01-20,36.200001,36.299999,34.900002,35.200001,34.760223,25630
2021-01-21,35.400002,35.500000,34.500000,35.500000,35.056477,18535
2021-01-22,35.500000,35.500000,34.700001,35.500000,35.056477,12760
2021-01-25,35.400002,36.700001,35.099998,35.700001,35.253979,25956
2021-01-26,35.799999,35.799999,35.099998,35.500000,35.056477,6891
2021-01-27,35.500000,35.599998,33.299999,34.000000,33.575218,33485
2021-01-28,33.700001,33.700001,31.200001,33.599998,33.180210,63256
2021-01-29,33.700001,35.000000,33.299999,34.599998,34.167717,20438
2021-02-01,34.500000,36.099998,33.799999,35.599998,35.155228,28848
2021-02-02,36.099998,37.900002,35.900002,37.900002,37.426491,13144
2021-02-03,37.900002,38.299999,37.099998,37.599998,37.130238,20509
2021-02-04,37.700001,38.200001,37.400002,37.500000,37.031490,8072
2021-02-05,37.799999,38.000000,37.200001,37.400002,36.932739,6395
2021-02-08,37.799999,39.200001,37.400002,39.000000,38.512749,22245
2021-02-09,39.000000,39.000000,37.500000,39.000000,38.512749,13217
2021-02-10,38.700001,38.900002,37.500000,38.200001,37.722740,11037
2021-02-11,38.200001,40.500000,38.000000,40.200001,39.697758,24731
2021-02-12,41.599998,45.000000,41.599998,45.000000,44.437786,85159
2021-02-15,46.599998,48.200001,46.000000,46.299999,45.721546,43342
2021-02-16,47.099998,47.299999,46.500000,47.299999,46.709049,14413
2021-02-17,47.500000,47.500000,44.000000,44.400002,43.845284,27229
2021-02-18,44.400002,47.000000,44.299999,45.500000,44.931538,28424
2021-02-19,42.799999,44.099998,42.500000,43.000000,42.462776,164166
2021-02-22,42.900002,43.099998,41.000000,41.799999,41.277763,66883
2021-02-23,42.299999,42.500000,40.000000,41.500000,40.981510,65069
2021-02-24,41.500000,42.799999,41.099998,41.900002,41.376518,23788
2021-02-25,42.299999,42.599998,40.500000,41.099998,40.586510,21069
2021-02-26,40.299999,42.000000,39.599998,41.099998,40.586510,40995
2021-03-01,41.799999,42.200001,41.500000,41.799999,41.277763,18628
2021-03-02,42.000000,42.799999,41.500000,41.799999,41.277763,25018
2021-03-03,42.099998,42.200001,41.099998,41.799999,41.277763,15723
2021-03-04,41.400002,41.400002,40.400002,40.700001,40.191509,24989
